Tweet(text),neutral
,neutral
 tigerbalmcanada ends today enter to win retweet amp follow tigerbalmcanada to enter to win a jar of tiger balm ultra strength oi ,positive
,neutral
 travelticket peyto lake canada  t co x9whtvageg,neutral
,neutral
is flying with canada s low cost airlines worth the hassle  t co cawugl67nq,neutral
,neutral
twitter to ban political ads in canada until election campaign cbc news  t co yotwhc4trc,neutral
,neutral
canada wonderland here i come ,neutral
,neutral
 toughcookie567 gevaarlijke hittegolf treft vs en canada  t co czfdznal80 via destandaard,neutral
,neutral
icymi as more activists and more political groups back a canadian green new deal the push to take concrete action  t co 892dfeviph,neutral
,neutral
 myholigay lgbt travel to gay friendly ottawa canada tulip festival http tumblr com xei87icni,positive
,neutral
interested in cannabis and hemp industry let s talk russia ukraine belarus usa canada hemp cannabis thc cbd,neutral
,neutral
 mrs teplitz lorneclinton cathmckenna the earth is literally burning up unless you send now and don t delay see details on how ,negative
,neutral
 foro tv ofrecen empleos en canad de hasta 69 000 pesos mensuales para mexicanos  t co o6tlohlw1n  t co 18ldk4bpid,neutral
,neutral
current weather johnstown ontario humid temp 82 2 f 28 c wind 17 9 kmh ssw bp 100 7 kpa and falling rela  t co ujf3fpekfd,negative
,neutral
oh this is sad his cape breton is the thought control centre of canada meant so much to me when i read it in hig  t co lphabkkxun,negative
,neutral
 t co wvajdahaq9 un pas dans la bonne direction cdnminhealth mais pour d impact il faut accorder le statu  t co wteit63bxl,neutral
,neutral
 kellycanuckto everyone in eastern canada today weather  t co cnmjr5tges,neutral
,neutral
 payantcody trudeaumustgo because our ancestors fought for canada s freedom and the least we can do is fight our government to keep it ,positive
,neutral
 spikedonline fifteen female beauticians in canada are being sued because they refused to wax a trans woman s bollocks we ve reached p ,negative
,neutral
amazing friends across canada canada proudtobecanadian goldstarsoul passion friendship soloroadtrip  t co xqbzhvf80c,positive
,neutral
 tundetash a rank of the 7 cheapest schools in canada for international students mix of english amp french schools for undergraduate s ,positive
,neutral
 golfvue dyk the most prolific canadian golf course architects in the golden age of golf in canada were stanley thompson and albert m ,positive
,neutral
join michelle gadsden williams managing director na amp canada inclusion amp diversity lead accenture at the 2019 str  t co oeexrbf0xo,positive
,neutral
 we must solve a complex puzzle points out kropffmartin dg of cimmyt wheat must feed more people while growi  t co nlzthzwwpi,negative
,neutral
 7newssydney police in canada have launched a murder investigation into the deaths of australian lucas fowler and his american girlfrie ,negative
,neutral
people s party board in a winnipeg riding quits over concerns about racism cbc news  t co nxb1cnmdjd  t co ju07g1waeg,negative
,neutral
pour les propri taires ou locataires d une copropri t ou d un appartement de graves inondations ou d g tsdeau p  t co jbrgw1vasp,neutral
,neutral
 10h le 20 jul 2019 il fait 309 5 s au canada extr mes retranch s min 4 1 c iqaluit max 27 4 c fredericton,neutral
,neutral
 bob animal you know it s hot in canada when  t co 2agwkxejqw,positive
,neutral
via perilofafrica are food politics defeating canada s healthy eating strategy with the clock ticking toward a f  t co rckrvvahbc,positive
,neutral
 jclynch23 goonion17 7newssydney it s the bc alaska hwy it runs through canada to get to alaska smh ,neutral
,neutral
